# bins UNIT SHAM
7.500000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.250000000000000000e+01 1.702560000000000000e+05 0.000000000000000000e+00
3.750000000000000000e+01 2.711630000000000000e+06 0.000000000000000000e+00
5.250000000000000000e+01 1.892495800000000000e+07 0.000000000000000000e+00
6.750000000000000000e+01 3.968449900000000000e+07 0.000000000000000000e+00
8.250000000000000000e+01 3.876859100000000000e+07 0.000000000000000000e+00
9.750000000000000000e+01 2.692821300000000000e+07 0.000000000000000000e+00
1.125000000000000000e+02 1.687786700000000000e+07 0.000000000000000000e+00
1.275000000000000000e+02 1.035705500000000000e+07 0.000000000000000000e+00
1.425000000000000000e+02 6.486563000000000000e+06 2.000000000000000111e-01
1.575000000000000000e+02 4.206282000000000000e+06 2.899999999999999911e+00
1.725000000000000000e+02 2.844099000000000000e+06 1.590000000000000036e+01
1.875000000000000000e+02 1.979764000000000000e+06 5.650000000000000000e+01
2.025000000000000000e+02 1.421880000000000000e+06 1.486666666666666572e+02
2.175000000000000000e+02 1.043772000000000000e+06 3.177666666666666515e+02
2.325000000000000000e+02 7.834620000000000000e+05 5.528666666666666742e+02
2.475000000000000000e+02 5.979700000000000000e+05 8.598999999999999773e+02
2.625000000000000000e+02 4.635680000000000000e+05 1.229233333333333348e+03
2.775000000000000000e+02 3.645830000000000000e+05 1.586266666666666652e+03
2.925000000000000000e+02 2.895900000000000000e+05 1.947733333333333348e+03
3.075000000000000000e+02 2.338440000000000000e+05 2.284300000000000182e+03
3.225000000000000000e+02 1.893540000000000000e+05 2.538333333333333485e+03
3.375000000000000000e+02 1.544270000000000000e+05 2.722633333333333212e+03
3.525000000000000000e+02 1.278960000000000000e+05 2.878066666666666606e+03
3.675000000000000000e+02 1.056020000000000000e+05 2.947966666666666697e+03
3.825000000000000000e+02 8.781100000000000000e+04 2.959199999999999818e+03
3.975000000000000000e+02 7.368700000000000000e+04 2.918966666666666697e+03
4.125000000000000000e+02 6.213100000000000000e+04 2.841366666666666788e+03
4.275000000000000000e+02 5.291800000000000000e+04 2.759099999999999909e+03
4.425000000000000000e+02 4.514800000000000000e+04 2.639533333333333303e+03
4.575000000000000000e+02 3.826200000000000000e+04 2.478033333333333303e+03
4.725000000000000000e+02 3.306000000000000000e+04 2.335866666666666788e+03
4.875000000000000000e+02 2.850700000000000000e+04 2.187666666666666515e+03
5.025000000000000000e+02 2.453300000000000000e+04 2.021799999999999955e+03
5.175000000000000000e+02 2.106300000000000000e+04 1.847233333333333348e+03
5.325000000000000000e+02 1.835400000000000000e+04 1.709233333333333348e+03
5.475000000000000000e+02 1.581200000000000000e+04 1.547466666666666697e+03
5.625000000000000000e+02 1.387400000000000000e+04 1.415299999999999955e+03
5.775000000000000000e+02 1.222200000000000000e+04 1.301166666666666742e+03
5.925000000000000000e+02 1.046900000000000000e+04 1.158200000000000045e+03
6.075000000000000000e+02 9.254000000000000000e+03 1.066633333333333439e+03
6.225000000000000000e+02 8.132000000000000000e+03 9.512666666666666515e+02
6.375000000000000000e+02 7.222000000000000000e+03 8.741000000000000227e+02
6.525000000000000000e+02 6.273000000000000000e+03 7.737666666666666515e+02
6.675000000000000000e+02 5.542000000000000000e+03 6.974666666666666970e+02
6.825000000000000000e+02 4.832000000000000000e+03 6.180666666666667197e+02
6.975000000000000000e+02 4.444000000000000000e+03 5.833999999999999773e+02
7.125000000000000000e+02 3.937000000000000000e+03 5.195333333333333030e+02
7.275000000000000000e+02 3.445000000000000000e+03 4.533999999999999773e+02
7.425000000000000000e+02 3.120000000000000000e+03 4.216333333333333258e+02
7.575000000000000000e+02 2.642000000000000000e+03 3.567666666666666515e+02
7.725000000000000000e+02 2.410000000000000000e+03 3.325000000000000000e+02
7.875000000000000000e+02 2.141000000000000000e+03 2.942333333333333485e+02
8.025000000000000000e+02 1.872000000000000000e+03 2.581999999999999886e+02
8.175000000000000000e+02 1.758000000000000000e+03 2.485000000000000000e+02
8.325000000000000000e+02 1.471000000000000000e+03 2.050666666666666629e+02
8.475000000000000000e+02 1.345000000000000000e+03 1.903666666666666742e+02
8.625000000000000000e+02 1.228000000000000000e+03 1.748333333333333428e+02
8.775000000000000000e+02 1.076000000000000000e+03 1.530666666666666629e+02
8.925000000000000000e+02 8.790000000000000000e+02 1.252333333333333343e+02
9.075000000000000000e+02 8.170000000000000000e+02 1.139666666666666686e+02
9.225000000000000000e+02 8.200000000000000000e+02 1.142999999999999972e+02
9.375000000000000000e+02 6.560000000000000000e+02 9.116666666666667140e+01
9.525000000000000000e+02 5.870000000000000000e+02 8.263333333333333997e+01
9.675000000000000000e+02 5.650000000000000000e+02 7.986666666666666003e+01
9.825000000000000000e+02 5.020000000000000000e+02 7.036666666666666003e+01
9.975000000000000000e+02 4.230000000000000000e+02 6.089999999999999858e+01
1.012500000000000000e+03 3.700000000000000000e+02 5.113333333333333286e+01
1.027500000000000000e+03 3.470000000000000000e+02 4.703333333333333144e+01
1.042500000000000000e+03 3.080000000000000000e+02 4.183333333333333570e+01
1.057500000000000000e+03 2.860000000000000000e+02 3.960000000000000142e+01
1.072500000000000000e+03 2.360000000000000000e+02 3.189999999999999858e+01
1.087500000000000000e+03 1.980000000000000000e+02 2.689999999999999858e+01
1.102500000000000000e+03 1.890000000000000000e+02 2.393333333333333357e+01
1.117500000000000000e+03 1.750000000000000000e+02 2.219999999999999929e+01
1.132500000000000000e+03 1.450000000000000000e+02 2.010000000000000142e+01
1.147500000000000000e+03 1.500000000000000000e+02 1.910000000000000142e+01
1.162500000000000000e+03 1.350000000000000000e+02 1.696666666666666501e+01
1.177500000000000000e+03 1.150000000000000000e+02 1.546666666666666679e+01
1.192500000000000000e+03 1.020000000000000000e+02 1.259999999999999964e+01
1.207500000000000000e+03 1.070000000000000000e+02 1.383333333333333393e+01
1.222500000000000000e+03 9.100000000000000000e+01 1.150000000000000000e+01
1.237500000000000000e+03 8.400000000000000000e+01 1.066666666666666607e+01
1.252500000000000000e+03 6.300000000000000000e+01 8.166666666666666075e+00
1.267500000000000000e+03 4.900000000000000000e+01 5.900000000000000355e+00
1.282500000000000000e+03 5.700000000000000000e+01 6.966666666666666785e+00
1.297500000000000000e+03 5.100000000000000000e+01 5.666666666666666963e+00
1.312500000000000000e+03 5.000000000000000000e+01 6.433333333333333570e+00
1.327500000000000000e+03 4.900000000000000000e+01 5.799999999999999822e+00
1.342500000000000000e+03 2.900000000000000000e+01 3.566666666666666874e+00
1.357500000000000000e+03 2.900000000000000000e+01 2.666666666666666519e+00
1.372500000000000000e+03 3.100000000000000000e+01 3.933333333333333126e+00
1.387500000000000000e+03 2.400000000000000000e+01 3.000000000000000000e+00
1.402500000000000000e+03 2.700000000000000000e+01 2.733333333333333393e+00
1.417500000000000000e+03 1.900000000000000000e+01 2.399999999999999911e+00
1.432500000000000000e+03 1.300000000000000000e+01 1.166666666666666741e+00
1.447500000000000000e+03 1.500000000000000000e+01 1.666666666666666741e+00
1.462500000000000000e+03 1.600000000000000000e+01 2.033333333333333215e+00
1.477500000000000000e+03 1.100000000000000000e+01 1.199999999999999956e+00
1.492500000000000000e+03 7.000000000000000000e+00 6.999999999999999556e-01
inf 1.763346360000000000e+08 6.260000000000000000e+04
